mz,rel.intensity,sample,fullsample,,,
730.5662148,0.38,ko8,ko8_2,,,
731.542916,0.9,ko8,ko8_2,,,
732.412617,0.95,ko8,ko8_2,,,
732.5460172,0.5,ko8,ko8_2,,,
735.5160208,0.94,ko8,ko8_2,,,
737.5237231,0.48,ko8,ko8_2,,,
740.5145267,0.52,ko8,ko8_2,,,
744.5285315,0.31,ko8,ko8_2,,,
745.5496327,2.59,ko8,ko8_2,,,
751.5392399,9.07,ko8,ko8_2,,,
758.5706483,0.57,ko8,ko8_2,,,
761.5321518,0.62,ko8,ko8_2,,,
763.5462542,0.4,ko8,ko8_2,,,
773.5328662,3.22,ko8,ko8_2,,,
773.5628662,0.97,ko8,ko8_2,,,
774.4595673,2.26,ko8,ko8_2,,,
775.4630685,0.92,ko8,ko8_2,,,
775.5679686,0.49,ko8,ko8_2,,,
775.5966686,0.9,ko8,ko8_2,,,
776.5596698,3.07,ko8,ko8_2,,,
778.5740722,1.19,ko8,ko8_2,,,
779.5414733,1.33,ko8,ko8_2,,,
780.5727746,0.64,ko8,ko8_2,,,
781.5471757,0.55,ko8,ko8_2,,,
781.5843758,0.71,ko8,ko8_2,,,
797.654295,0.73,ko8,ko8_2,,,
798.6576962,0.37,ko8,ko8_2,,,
799.5273972,0.89,ko8,ko8_2,,,
810.5654104,1.23,ko8,ko8_2,,,
822.5654248,0.83,ko8,ko8_2,,,
859.5470689,0.44,ko8,ko8_2,,,
859.6910691,0.38,ko8,ko8_2,,,
865.5470761,0.72,ko8,ko8_2,,,
869.5549809,3.28,ko8,ko8_2,,,
909.6372288,0.28,ko8,ko8_2,,,
917.5398382,0.43,ko8,ko8_2,,,
920.5505418,0.31,ko8,ko8_2,,,
509.2882003,0.99,sc1,sc1_1,,,
522.2834107,2.29,sc1,sc1_1,,,
524.2992123,4.15,sc1,sc1_1,,,
544.2678282,1.26,sc1,sc1_1,,,
546.2836298,0.57,sc1,sc1_1,,,
555.2725369,0.48,sc1,sc1_1,,,
591.4031657,0.79,sc1,sc1_1,,,
617.4189864,0.75,sc1,sc1_1,,,
662.4401223,0.53,sc1,sc1_1,,,
664.4557239,3.96,sc1,sc1_1,,,
665.4591247,1.34,sc1,sc1_1,,,
677.4965343,0.38,sc1,sc1_1,,,
678.4714351,1.18,sc1,sc1_1,,,
702.5432542,0.43,sc1,sc1_1,,,
716.5160654,0.49,sc1,sc1_1,,,
725.5543726,0.75,sc1,sc1_1,,,
727.5475742,2.23,sc1,sc1_1,,,
728.5415749,1.47,sc1,sc1_1,,,
728.551275,1,sc1,sc1_1,,,
729.5626758,1.17,sc1,sc1_1,,,
730.5394765,1.36,sc1,sc1_1,,,
731.5428773,0.91,sc1,sc1_1,,,
732.412578,1.43,sc1,sc1_1,,,
732.5464781,0.45,sc1,sc1_1,,,
736.5291813,3.35,sc1,sc1_1,,,
752.5506941,6.11,sc1,sc1_1,,,
752.5596941,6.25,sc1,sc1_1,,,
753.5844949,0.86,sc1,sc1_1,,,
757.5756981,0.64,sc1,sc1_1,,,
758.5706989,0.43,sc1,sc1_1,,,
761.5315012,0.53,sc1,sc1_1,,,
762.544202,1.07,sc1,sc1_1,,,
765.5185044,1.47,sc1,sc1_1,,,
773.5628108,1.22,sc1,sc1_1,,,
774.4594115,2.49,sc1,sc1_1,,,
774.5668116,0.86,sc1,sc1_1,,,
775.4630123,0.79,sc1,sc1_1,,,
775.5471124,3.99,sc1,sc1_1,,,
775.5966124,0.81,sc1,sc1_1,,,
776.5596132,3.98,sc1,sc1_1,,,
778.5732148,0.84,sc1,sc1_1,,,
779.5418156,0.85,sc1,sc1_1,,,
781.5847172,0.65,sc1,sc1_1,,,
790.5397243,1.54,sc1,sc1_1,,,
794.5325275,0.43,sc1,sc1_1,,,
797.5813299,0.94,sc1,sc1_1,,,
797.65433,1.05,sc1,sc1_1,,,
799.5274315,1.38,sc1,sc1_1,,,
810.5652403,0.61,sc1,sc1_1,,,
850.5743721,1.08,sc1,sc1_1,,,
859.5475793,0.64,sc1,sc1_1,,,
869.5549873,4.02,sc1,sc1_1,,,
871.5706889,3.48,sc1,sc1_1,,,
909.6367192,0.44,sc1,sc1_1,,,
509.2883003,1.19,sc1,sc1_2,,,
522.2835107,2.47,sc1,sc1_2,,,
591.4030657,0.53,sc1,sc1_2,,,
617.4186864,0.92,sc1,sc1_2,,,
662.4400223,0.81,sc1,sc1_2,,,
664.4558239,5.48,sc1,sc1_2,,,
665.4590247,1.95,sc1,sc1_2,,,
728.5410749,1.03,sc1,sc1_2,,,
728.551075,0.9,sc1,sc1_2,,,
729.5445757,0.98,sc1,sc1_2,,,
729.5623758,1.13,sc1,sc1_2,,,
731.5430773,0.78,sc1,sc1_2,,,
732.412378,1.44,sc1,sc1_2,,,
733.5494789,0.94,sc1,sc1_2,,,
736.5293813,3.26,sc1,sc1_2,,,
747.5651901,5.74,sc1,sc1_2,,,
753.5842949,0.52,sc1,sc1_2,,,
756.5718973,0.84,sc1,sc1_2,,,
757.5684981,0.75,sc1,sc1_2,,,
758.5705989,0.54,sc1,sc1_2,,,
761.5318012,0.46,sc1,sc1_2,,,
762.544502,1.18,sc1,sc1_2,,,
763.5467028,0.42,sc1,sc1_2,,,
765.5183044,1.46,sc1,sc1_2,,,
774.4593115,2.52,sc1,sc1_2,,,
775.5470124,3.49,sc1,sc1_2,,,
775.5692124,0.57,sc1,sc1_2,,,
776.5239132,0.93,sc1,sc1_2,,,
778.5739148,1.27,sc1,sc1_2,,,
781.5484172,0.56,sc1,sc1_2,,,
781.5838172,0.71,sc1,sc1_2,,,
790.5396243,1.61,sc1,sc1_2,,,
794.5527275,1.63,sc1,sc1_2,,,
797.5812299,0.96,sc1,sc1_2,,,
797.65443,0.74,sc1,sc1_2,,,
810.5655403,0.69,sc1,sc1_2,,,
850.5745721,1.2,sc1,sc1_2,,,
859.5476793,0.55,sc1,sc1_2,,,
865.5469841,0.89,sc1,sc1_2,,,
909.6366192,0.48,sc1,sc1_2,,,
509.2883022,0.96,sc3,sc3_1,,,
522.2835746,1.93,sc3,sc3_1,,,
524.2992859,4.43,sc3,sc3_1,,,
540.3302753,0.49,sc3,sc3_1,,,
544.2679972,1.13,sc3,sc3_1,,,
546.2836085,0.71,sc3,sc3_1,,,
555.2726586,0.68,sc3,sc3_1,,,
591.40306,0.93,sc3,sc3_1,,,
617.4188051,1.23,sc3,sc3_1,,,
662.4400561,0.8,sc3,sc3_1,,,
664.4558673,5.39,sc3,sc3_1,,,
665.4274727,0.48,sc3,sc3_1,,,
665.4591729,1.88,sc3,sc3_1,,,
676.4557342,0.3,sc3,sc3_1,,,
678.4711454,0.83,sc3,sc3_1,,,
691.5021181,0.35,sc3,sc3_1,,,
716.5158576,0.44,sc3,sc3_1,,,
723.5563968,0.74,sc3,sc3_1,,,
725.562208,0.35,sc3,sc3_1,,,
727.5470191,1.8,sc3,sc3_1,,,
728.5510247,0.87,sc3,sc3_1,,,
728.5712248,0.72,sc3,sc3_1,,,
729.5627303,1.02,sc3,sc3_1,,,
730.5395357,1.36,sc3,sc3_1,,,
730.5654359,0.34,sc3,sc3_1,,,
731.5427413,0.92,sc3,sc3_1,,,
732.4127462,1.04,sc3,sc3_1,,,
732.5463469,0.5,sc3,sc3_1,,,
735.5158635,0.7,sc3,sc3_1,,,
735.5561637,0.41,sc3,sc3_1,,,
740.5147914,0.51,sc3,sc3_1,,,
744.5276137,0.25,sc3,sc3_1,,,
752.5594585,5.42,sc3,sc3_1,,,
754.5028693,0.58,sc3,sc3_1,,,
758.570792,0.58,sc3,sc3_1,,,
761.5317085,0.55,sc3,sc3_1,,,
762.5441142,0.8,sc3,sc3_1,,,
763.5458198,0.34,sc3,sc3_1,,,
765.5183308,1.34,sc3,sc3_1,,,
773.5327754,3.23,sc3,sc3_1,,,
773.5630756,1.06,sc3,sc3_1,,,
774.4595806,2.21,sc3,sc3_1,,,
775.4631862,0.94,sc3,sc3_1,,,
775.5471867,3.09,sc3,sc3_1,,,
775.5692868,0.45,sc3,sc3_1,,,
775.596687,0.84,sc3,sc3_1,,,
776.5598923,3.18,sc3,sc3_1,,,
778.5737035,1.13,sc3,sc3_1,,,
779.5419089,0.62,sc3,sc3_1,,,
780.5184144,0.54,sc3,sc3_1,,,
780.5727147,0.63,sc3,sc3_1,,,
781.5472201,0.37,sc3,sc3_1,,,
781.5846203,0.82,sc3,sc3_1,,,
782.5341256,0.7,sc3,sc3_1,,,
790.5398703,1.39,sc3,sc3_1,,,
794.5340925,0.49,sc3,sc3_1,,,
797.5809095,0.88,sc3,sc3_1,,,
797.6542099,1.03,sc3,sc3_1,,,
798.6575155,0.41,sc3,sc3_1,,,
799.5276204,1.2,sc3,sc3_1,,,
808.5496707,0.43,sc3,sc3_1,,,
810.5652819,0.77,sc3,sc3_1,,,
850.575205,0.52,sc3,sc3_1,,,
859.547755,0.47,sc3,sc3_1,,,
859.6903558,0.35,sc3,sc3_1,,,
865.5469885,0.61,sc3,sc3_1,,,
869.5549108,3.62,sc3,sc3_1,,,
871.570422,2.8,sc3,sc3_1,,,
909.6371343,0.54,sc3,sc3_1,,,
917.5400783,0.43,sc3,sc3_1,,,
920.5502951,0.31,sc3,sc3_1,,,
509.2882523,1.19,sc3,sc3_2,,,
522.28353,1.84,sc3,sc3_2,,,
524.299242,4.39,sc3,sc3_2,,,
540.3302378,0.38,sc3,sc3_2,,,
544.2678613,1.25,sc3,sc3_2,,,
546.2835733,0.79,sc3,sc3_2,,,
